,dist_mile,model_i,model_j,model_lat,model_lon
river_mile_1,0.13734282180714727,65,61,-75.05737531776896,38.84442641947831
river_mile_10,10.061385687611802,80,111,-75.13007603091519,38.9807402231046
river_mile_20,19.991429725923666,96,161,-75.21189823953031,39.11214209405563
river_mile_30,30.051647577091092,104,216,-75.29415135055595,39.219372287735446
river_mile_40,39.974992671826435,93,308,-75.42183225809408,39.335900267614036
river_mile_50,50.037003628672196,48,414,-75.55029363199377,39.44428866629863
river_mile_60,59.974099878839894,55,486,-75.55753360991199,39.583846840144005
river_mile_70,69.9477504368475,57,558,-75.51065964620885,39.70422539530227
river_mile_80,80.02412912971725,58,711,-75.39676169806683,39.81370734063767
river_mile_90,89.99216471701406,71,877,-75.23097315154885,39.859903126063855
river_mile_100,97.40694266765571,97,977,-75.13070122217789,39.91438029687683
river_mile_110,110.0060257866627,61,1095,-74.99779842093132,40.03209029602546
river_mile_120,120.02520124368164,66,1210,-74.8391377717587,40.10081148561064
