,datetime,s_rho,lon_rho,lat_rho,dist_mile,salt
0,2019-01-01,-0.96875,-75.54924654967986,39.52745935441014,55.98462114674873,0.5533551
1,2019-01-02,-0.96875,-75.5538982847726,39.52941765540195,56.14060912848913,0.547608
2,2019-01-03,-0.96875,-75.55521551637831,39.5362988587382,56.630365381748526,0.504105
3,2019-01-04,-0.96875,-75.55434374597492,39.53063718849962,56.23002090063554,0.518993
4,2019-01-05,-0.96875,-75.55437019523663,39.53080940436291,56.24139538633815,0.51573974
5,2019-01-06,-0.96875,-75.55399900807065,39.51237641323083,54.9386924779594,0.51861256
6,2019-01-07,-0.96875,-75.55116404838023,39.488515615504305,53.19322843212581,0.51327264
7,2019-01-08,-0.96875,-75.55042455662014,39.48902659473506,53.22246407071653,0.524034
8,2019-01-09,-0.96875,-75.55232105354939,39.48834107128277,53.20585581017321,0.51794124
9,2019-01-10,-0.96875,-75.54978790594927,39.47330676172408,52.059364014060066,0.55041903
10,2019-01-11,-0.96875,-75.55530301287244,39.52720009368084,55.994358322069154,0.5655869
11,2019-01-12,-0.96875,-75.55733150485608,39.56609417798832,58.77547650244409,0.56212455
12,2019-01-13,-0.96875,-75.55541940763435,39.57329700614055,59.28886614852771,0.52307194
13,2019-01-14,-0.96875,-75.55583193319906,39.598431792233136,61.232094761032215,0.5744154
14,2019-01-15,-0.96875,-75.55475255126322,39.603471616686505,61.65438934465262,0.56860864
15,2019-01-16,-0.96875,-75.55276684503997,39.60404495912696,61.730439820311894,0.52512586
16,2019-01-17,-0.96875,-75.55406443557001,39.59865405492624,61.29945039945301,0.52890795
17,2019-01-18,-0.96875,-75.55308046934934,39.615466122908124,62.64718612857974,0.52697337
18,2019-01-19,-0.96875,-75.5517165549136,39.62120149491504,63.11623956040852,0.53881997
19,2019-01-20,-0.96875,-75.54781699705907,39.6394176807736,64.58964689865374,0.51725215
20,2019-01-21,-0.96875,-75.5605653585855,39.596219061542605,61.02816266855714,0.5204869
21,2019-01-22,-0.96875,-75.55708460607228,39.57229720429243,59.26849591871022,0.52293384
22,2019-01-23,-0.96875,-75.55358056101883,39.60354687900391,61.7053165524861,0.51584476
23,2019-01-24,-0.96875,-75.54977091720356,39.61396050588933,62.56787114255147,0.5301214
24,2019-01-25,-0.96875,-75.55705881484018,39.572432380827294,59.22105934393923,0.52865034
25,2019-01-26,-0.96875,-75.55392928483357,39.527444015965806,56.00559158092924,0.51696235
26,2019-01-27,-0.96875,-75.55335320204631,39.519064362646525,55.415474767542065,0.515053
27,2019-01-28,-0.96875,-75.55074203302327,39.47930425349406,52.51771319121726,0.5230219
28,2019-01-29,-0.96875,-75.55234461943671,39.4843417481726,52.9129205558847,0.5066632
29,2019-01-30,-0.96875,-75.55357993180273,39.48819912227099,53.21273816847301,0.51638764
30,2019-01-31,-0.96875,-75.55354875442319,39.508465245697884,54.672748309518255,0.5005577
